,ID,done,Name,rss,tags,region,status,notes,last_scraped,total_scraped,element_name,attribute_name,attribute_content,URL,Projects
162,81226,done,Sempra Energy,https://sempra.mediaroom.com/index.php?s=19080&pagetemplate=rss,,,,,,,div,id,wd_printable_content,http://influencemap.org/company/Sempra-Energy,Climate Change
163,81227,done,Southern Company,,,,,,,,,,,http://influencemap.org/company/Southern-Company,Climate Change
164,81228,done,Syngenta,,,,,,,,,,,http://influencemap.org/company/Syngenta-54d84c6f81e81973efb1a4b2c435aa12,Climate Change
165,81229,done,Vale,,,,,,,,,,,http://influencemap.org/company/Vale-e29ba1cc59a5d66cf188ef3b8794e305,"Climate Change, Shipping Sector Analysis"
166,81230,done,Capital Power Corporation,,,,,,,,,,,http://influencemap.org/company/Capital-Power-Corporation,Climate Change
167,81231,done,Cenovus Energy,,,,,,,,,,,http://influencemap.org/company/Cenovus-Energy,Climate Change
168,81232,done,Encana Corporation,,,,,,,,,,,http://influencemap.org/company/Encana-Corporation,Climate Change
169,81233,done,Husky Energy,,,,,,,,,,,http://influencemap.org/company/Husky-Energy,Climate Change
170,81234,done,Imperial Oil Limited,,,,,,,,,,,http://influencemap.org/company/Imperial-Oil-Limited,Climate Change
171,81235,done,TC Energy,,,,,,,,,,,http://influencemap.org/company/TransCanada-Corporation,Climate Change
172,81236,done,Apache Corp,,,,,,,,,,,http://influencemap.org/company/Apache-Corp,Climate Change
173,81237,done,EOG Resources,,,,,,,,,,,http://influencemap.org/company/EOG-Resources,Climate Change
174,81238,done,Hess Corporation,https://investors.hess.com/rss/news-releases.xml,,,,,,,div,class,node__content,http://influencemap.org/company/Hess-Corporation,Climate Change
175,81239,done,Marathon Petroleum,https://ir.marathonpetroleum.com/rss/pressrelease.aspx,,,,,,,div,class,module_body,http://influencemap.org/company/Marathon-Oil,Climate Change
176,81240,done,AGL Energy,,,,,,,,,,,http://influencemap.org/company/AGL-Energy,Climate Change
177,81241,done,Origin Energy,,,,,,,,,,,http://influencemap.org/company/Origin-Energy,Climate Change
178,81242,done,Oil Search,,,,,,,,,,,http://influencemap.org/company/Oil-Search,Climate Change
179,81243,done,Santos,,,,,,,,,,,http://influencemap.org/company/Santos-1a1fb152d93c9e34c7b741b97e6d6d1c,Climate Change
180,81244,done,Wesfarmers,,,,,,,,,,,http://influencemap.org/company/Wesfarmers-2a22874616b0b85b94728d0bd289f956,Climate Change
181,87085,done,Groupe PSA,,,,,,,,,,,http://influencemap.org/company/PSA-Peugeot-Citroen,"Climate Change, NOX"
182,87183,done,Fiat Chrysler Automobiles,,,,,,,,,,,http://influencemap.org/company/Fiat-Chrysler-Automobiles,"Climate Change, NOX"
183,89432,done,Teck Resources Limited,,,,,,,,,,,http://influencemap.org/company/Teck-Resources-Limited,Climate Change
184,89529,done,Anglo American,,,,,,,,,,,http://influencemap.org/company/Anglo-American,Climate Change
185,89717,done,Antofagasta,,,,,,,,,,,http://influencemap.org/company/Antofagasta,Climate Change
186,89718,done,Freeport-McMoRan,https://investors.fcx.com/rss/pressrelease.aspx,,,,,,,div,class,module_container module_container--inner clearfix,http://influencemap.org/company/Freeport-McMoRan,Climate Change
187,89719,done,First Quantum Minerals,https://www.first-quantum.com/rss/PressRelease.aspx?LanguageId=1,,,,,,,div,class,module_body clearfix,http://influencemap.org/company/First-Quantum-Minerals,Climate Change
188,89720,done,Vedanta Resources,,,,,,,,,,,http://influencemap.org/company/Vedanta-Resources,Climate Change
